orgao_superior_codigo_siorg,orgao_superior_nome,orgao_superior_sigla,orgao_codigo_siorg,orgao_nome,orgao_sigla,orgao_como_no_raiox_nome,orgao_como_no_raiox_sigla,ano_mes_referencia,codigo_unidade_orcamentaria,codigo_item,nome_item,codigo_natureza_despesa_detalhada,nome_natureza_despesa_detalhada,valor
244,MINISTÉRIO DA EDUCAÇÃO,MEC,425,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UFES,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UFES,202110,26234,11,Contratação Temporária,33900422,AUXILIO-CRECHE,3354.45
244,MINISTÉRIO DA EDUCAÇÃO,MEC,416,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,202110,26233,11,Contratação Temporária,33900422,AUXILIO-CRECHE,2375.4
244,MINISTÉRIO DA EDUCAÇÃO,MEC,421,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,202110,26232,11,Contratação Temporária,33900422,AUXILIO-CRECHE,6355.8
244,MINISTÉRIO DA EDUCAÇÃO,MEC,420,UNIVERSIDADE FEDERAL DE ALAGOAS,UFAL,UNIVERSIDADE FEDERAL DE ALAGOAS,UFAL,202110,26231,11,Contratação Temporária,33900422,AUXILIO-CRECHE,979.05
244,MINISTÉRIO DA EDUCAÇÃO,MEC,69624,FUNDAÇÃO UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO,UNIVASF,FUNDAÇÃO UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO,UNIVASF,202110,26230,11,Contratação Temporária,33900422,AUXILIO-CRECHE,2247.0
244,MINISTÉRIO DA EDUCAÇÃO,MEC,256,COLÉGIO PEDRO II,CP II,COLÉGIO PEDRO II,CP II,202110,26201,11,Contratação Temporária,33900422,AUXILIO-CRECHE,0.0
244,MINISTÉRIO DA EDUCAÇÃO,MEC,244,MINISTÉRIO DA EDUCAÇÃO,MEC,MINISTÉRIO DA EDUCAÇÃO,MEC,202110,26105,11,Contratação Temporária,33900422,AUXILIO-CRECHE,963.0
244,MINISTÉRIO DA EDUCAÇÃO,MEC,244,MINISTÉRIO DA EDUCAÇÃO,MEC,MINISTÉRIO DA EDUCAÇÃO,MEC,202110,26104,11,Contratação Temporária,33900422,AUXILIO-CRECHE,1219.8
244,MINISTÉRIO DA EDUCAÇÃO,MEC,244,MINISTÉRIO DA EDUCAÇÃO,MEC,MINISTÉRIO DA EDUCAÇÃO,MEC,202110,26101,11,Contratação Temporária,33900422,AUXILIO-CRECHE,2439.6
235876,MINISTÉRIO DA ECONOMIA,ME,235876,MINISTÉRIO DA ECONOMIA,ME,MINISTÉRIO DA ECONOMIA,ME,202110,25101,11,Contratação Temporária,33900422,AUXILIO-CRECHE,8988.0
1988,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÕES",MCTI,1988,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÕES",MCTI,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÕES",MCTI,202110,24101,11,Contratação Temporária,33900422,AUXILIO-CRECHE,0.0
235876,MINISTÉRIO DA ECONOMIA,ME,3,FUNDAÇÃO INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA,IBGE,FUNDAÇÃO INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA,IBGE,202110,25301,11,Contratação Temporária,33900422,AUXILIO-CRECHE,283836.25
235881,MINISTÉRIO DA JUSTIÇA E SEGURANÇA PÚBLICA,MJSP,235881,MINISTÉRIO DA JUSTIÇA E SEGURANÇA PÚBLICA,MJSP,MINISTÉRIO DA JUSTIÇA E SEGURANÇA PÚBLICA,MJSP,202110,30907,21,Combustíveis e Lubrificantes,33903003,COMBUSTIVEIS E LUBRIF. P/ OUTRAS FINALIDADES,0.0
235881,MINISTÉRIO DA JUSTIÇA E SEGURANÇA PÚBLICA,MJSP,235881,MINISTÉRIO DA JUSTIÇA E SEGURANÇA PÚBLICA,MJSP,MINISTÉRIO DA JUSTIÇA E SEGURANÇA PÚBLICA,MJSP,202110,30911,21,Combustíveis e Lubrificantes,33903003,COMBUSTIVEIS E LUBRIF. P/ OUTRAS FINALIDADES,4437.16
235881,MINISTÉRIO DA JUSTIÇA E SEGURANÇA PÚBLICA,MJSP,173,FUNDAÇÃO NACIONAL DO ÍNDIO,FUNAI,FUNDAÇÃO NACIONAL DO ÍNDIO,FUNAI,202110,30202,21,Combustíveis e Lubrificantes,33903003,COMBUSTIVEIS E LUBRIF. P/ OUTRAS FINALIDADES,2517.47
235881,MINISTÉRIO DA JUSTIÇA E SEGURANÇA PÚBLICA,MJSP,235881,MINISTÉRIO DA JUSTIÇA E SEGURANÇA PÚBLICA,MJSP,MINISTÉRIO DA JUSTIÇA E SEGURANÇA PÚBLICA,MJSP,202110,30107,21,Combustíveis e Lubrificantes,33903003,COMBUSTIVEIS E LUBRIF. P/ OUTRAS FINALIDADES,119.88
2852,MINISTÉRIO DE MINAS E ENERGIA,MME,222120,AGÊNCIA NACIONAL DE MINERAÇÃO,ANM,AGÊNCIA NACIONAL DE MINERAÇÃO,ANM,202110,32396,21,Combustíveis e Lubrificantes,33903003,COMBUSTIVEIS E LUBRIF. P/ OUTRAS FINALIDADES,0.0
263,MINISTÉRIO DAS RELAÇÕES EXTERIORES,MRE,263,MINISTÉRIO DAS RELAÇÕES EXTERIORES,MRE,MINISTÉRIO DAS RELAÇÕES EXTERIORES,MRE,202110,35101,21,Combustíveis e Lubrificantes,33903003,COMBUSTIVEIS E LUBRIF. P/ OUTRAS FINALIDADES,26098.894119
304,MINISTÉRIO DA SAÚDE,MS,304,MINISTÉRIO DA SAÚDE,MS,MINISTÉRIO DA SAÚDE,MS,202110,36901,21,Combustíveis e Lubrificantes,33903003,COMBUSTIVEIS E LUBRIF. P/ OUTRAS FINALIDADES,173486.62
304,MINISTÉRIO DA SAÚDE,MS,315,FUNDAÇÃO OSWALDO CRUZ,FIOCRUZ,FUNDAÇÃO OSWALDO CRUZ,FIOCRUZ,202110,36201,21,Combustíveis e Lubrificantes,33903003,COMBUSTIVEIS E LUBRIF. P/ OUTRAS FINALIDADES,54731.15
235881,MINISTÉRIO DA JUSTIÇA E SEGURANÇA PÚBLICA,MJSP,235881,MINISTÉRIO DA JUSTIÇA E SEGURANÇA PÚBLICA,MJSP,MINISTÉRIO DA JUSTIÇA E SEGURANÇA PÚBLICA,MJSP,202110,30108,21,Combustíveis e Lubrificantes,33903003,COMBUSTIVEIS E LUBRIF. P/ OUTRAS FINALIDADES,125725.83
244,MINISTÉRIO DA EDUCAÇÃO,MEC,453,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO",IFSP,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO",IFSP,202110,26439,21,Combustíveis e Lubrificantes,33903003,COMBUSTIVEIS E LUBRIF. P/ OUTRAS FINALIDADES,417.6
