orgao_superior_codigo_siorg,orgao_superior_nome,orgao_superior_sigla,orgao_codigo_siorg,orgao_nome,orgao_sigla,orgao_como_no_raiox_nome,orgao_como_no_raiox_sigla,ano_mes_referencia,quantidade_servidores_cedidos_apf,quantidade_servidores_cedidos_outros,quantidade_servidores_cedidos,quantidade_servidores_quadro_pessoal,quantidade_estagiarios
244,MINISTÉRIO DA EDUCAÇÃO,MEC,100917,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PARÁ",IFPA,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PARÁ",IFPA,202110,6,3,9,2350,1
244,MINISTÉRIO DA EDUCAÇÃO,MEC,456,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA SUL-RIO-GRANDENSE",IFSUL,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA SUL-RIO-GRANDENSE",IFSUL,202110,9,3,12,1774,11
244,MINISTÉRIO DA EDUCAÇÃO,MEC,455,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SANTA CATARINA",IFSC,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SANTA CATARINA",IFSC,202110,6,2,8,2598,75
244,MINISTÉRIO DA EDUCAÇÃO,MEC,418,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,202110,5,69,74,6387,0
244,MINISTÉRIO DA EDUCAÇÃO,MEC,429,UNIVERSIDADE FEDERAL DE SANTA CATARINA,UFSC,UNIVERSIDADE FEDERAL DE SANTA CATARINA,UFSC,202110,3,66,69,5556,0
244,MINISTÉRIO DA EDUCAÇÃO,MEC,459,UNIVERSIDADE FEDERAL DO TRIÂNGULO MINEIRO,UFTM,UNIVERSIDADE FEDERAL DO TRIÂNGULO MINEIRO,UFTM,202110,7,35,42,2026,7
244,MINISTÉRIO DA EDUCAÇÃO,MEC,448,CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA CELSO SUCKOW DA FONSECA,CEFET-RJ,CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA CELSO SUCKOW DA FONSECA,CEFET-RJ,202110,9,4,13,1446,0
244,MINISTÉRIO DA EDUCAÇÃO,MEC,462,UNIVERSIDADE FEDERAL DE ITAJUBÁ,UNIFEI,UNIVERSIDADE FEDERAL DE ITAJUBÁ,UNIFEI,202110,3,2,5,858,61
244,MINISTÉRIO DA EDUCAÇÃO,MEC,970,FUNDAÇÃO UNIVERSIDADE FEDERAL DE CIÊNCIAS DA SAÚDE DE PORTO ALEGRE,UFCSPA,FUNDAÇÃO UNIVERSIDADE FEDERAL DE CIÊNCIAS DA SAÚDE DE PORTO ALEGRE,UFCSPA,202110,5,2,7,581,24
244,MINISTÉRIO DA EDUCAÇÃO,MEC,94427,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO ACRE",IFAC,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO ACRE",IFAC,202110,4,2,6,726,7
